"","PlotPlantID","ClusterID","InDemographicStudy","Tag_Number","Island","Cluster2","Network","Species","InBigPlantStudy","N.PlotPlantIDs","Easting","Northing","RecruitmentMode","PlantMeasureID","First_Observer_Initials","Second_Observer_Initials","Date","PlantID","Plant_collected","Time","PlantPictures","PlantPictures_Direction","CA_t","CACA_collected","CACA_quantity","ME_t","MEPR_collected","MEPR_quantity","CH_t","CHVI_collected","CHVI_quantity","DA_t","DACT_collected","DACT_quantity","Unknown_Moth_t","UnknownMoth_collected","UnknownMoth_quantity","Old_Moth_Evidence_t","Old_Moth_Evidence_recent","Fungus","Gerstaeckeria_t","Plant_Segments_total","Plant_Segments_w_leaves","Plant_Segments_wo_leaves","Plant_Segments_woody","Height_t","Width_t","Perpen_Width","Num_FlowerBuds","Num_Fruit_red","Num_Fruit_green","Num_Flowers","Num_Fruit","Pollinators","Spiders","Ants","Other_collected_quantity","Plant_Notes","Insect_Notes","Other_Notes","Dead","Missing","OutsideOfPlot","Size_t","Fruit_t","Fruit_Flowers_t","DemographicSurvey","SamplingYear"
"1","7569","134","yes",1357,"5",0,134,"stricta","",1,NA,NA,"Clonal",11450,"KS",NA,2014-09-21,"7569","No",NA,"7343","S",0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"Not Recorded","Not Recorded",0,NA,0,0,1,NA,NA,NA,0,0,1,0,NA,"Not Recorded","Not Recorded","Not Recorded",NA,NA,NA,NA,0,0,"",1,1,1,"3",2014
"2","7813","113","yes",113,"3",0,113,"stricta","",2,NA,NA,"Clonal",12906,"KS",NA,2015-01-20,"7813","No",NA,NA,"Not Recorded",0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"Not Recorded","Not Recorded",0,NA,0,1,0,NA,NA,NA,0,3,0,0,NA,"Not Recorded","Not Recorded","Not Recorded",NA,NA,NA,NA,0,0,"",1,3,3,"4",2014
"3","7814","113","yes",113,"3",0,113,"stricta","",1,NA,NA,"Clonal",12907,"KS",NA,2015-01-20,"7814","No",NA,NA,"Not Recorded",0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"Not Recorded","Not Recorded",0,NA,0,1,0,NA,NA,NA,0,3,0,0,NA,"Not Recorded","Not Recorded","Not Recorded",NA,NA,NA,NA,0,0,"",1,3,3,"4",2014
"4","8159","139","yes",555,"5",0,139,"stricta","",1,NA,NA,"Clonal",2505,"KS","PH",2013-05-23,"8159","No",NA,"9757","N",0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"Not Recorded","Not Recorded",NA,NA,0,3,0,16.5,25,11,1,0,0,0,NA,"Not Recorded","Not Recorded","Not Recorded",NA,NA,NA,NA,0,0,"",3,0,1,"1",2013
"5","8780","184, 183","yes",184,"Roadway1",183,183,"stricta","",1,NA,NA,"Clonal",7691,"KS","MG",2014-05-26,"8780","No",NA,"4192","SE",0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"Not Recorded","Not Recorded",0,NA,0,1,0,3.5,9.5,4,0,1,0,0,NA,"Not Recorded","Not Recorded","Not Recorded",NA,NA,NA,NA,0,0,"",1,1,1,"3",2014
"6","9329","209","yes",482,"Roadway2",0,209,"stricta","",1,NA,NA,"Clonal",387,"KS",NA,2013-02-25,"9329","No",NA,"7106","N",NA,"No",0,NA,"No",0,NA,"No",0,NA,"No",0,NA,"No",0,NA,"Not Recorded","Not Recorded",NA,1,NA,NA,NA,NA,NA,NA,0,2,0,0,0,"Not Recorded","Not Recorded","Not Recorded",NA,NA,NA,NA,0,0,"",1,2,2,"0",2012
"7","9591a","184","yes",448,"Roadway1",0,183,"stricta","",4,NA,NA,NA,15580,"KS",NA,2015-06-14,"9591","No",NA,NA,NA,0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"Not Recorded","Not Recorded",0,NA,0,1,0,NA,NA,NA,0,0,1,0,NA,"Not Recorded","Not Recorded","Not Recorded",NA,NA,NA,NA,0,0,"",1,1,1,"5",2015
"8","9591a","184","yes",448,"Roadway1",0,183,"stricta","",4,NA,NA,NA,7714,"KS","MG",2014-05-26,"9591","No",NA,"4167","W",0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"Not Recorded","Not Recorded",0,NA,0,2,0,NA,NA,NA,0,2,3,0,NA,"Not Recorded","Not Recorded","Not Recorded",NA,NA,NA,NA,0,0,"",2,5,5,"3",2014
"9","9591d","184","yes",450,"Roadway1",0,183,"stricta","",4,NA,NA,NA,682,"KS",NA,2013-03-07,"9591","No",NA,"7572 (NW), 7573 (N)","N",NA,"No",0,NA,"No",0,NA,"No",0,NA,"No",0,NA,"No",0,NA,"Not Recorded","Not Recorded",NA,3,NA,NA,NA,NA,NA,NA,4,2,0,0,0,"Not Recorded","Not Recorded","Not Recorded",NA,NA,NA,"flower buds are really small so they actually might be new segments",0,0,"",3,2,6,"0",2012
"10","9591d","184","yes",450,"Roadway1",0,183,"stricta","",4,NA,NA,NA,3022,"KS","PH",2013-05-14,"9591","No",NA,"9029","N",0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No",0,1,"Old","Not Recorded",NA,NA,0,3,0,NA,NA,NA,0,0,7,0,NA,"Not Recorded","Not Recorded","Not Recorded",NA,NA,NA,NA,0,0,"",3,7,7,"1",2013
"11","9606b","184, 183","yes",184,"Roadway1",183,183,"stricta","",3,NA,NA,NA,7693,"KS","MG",2014-05-26,"9606","No",NA,"4194","E",0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"Not Recorded","Not Recorded",0,NA,1,3,0,NA,NA,NA,0,0,1,0,NA,"Not Recorded","Not Recorded","Not Recorded",NA,NA,NA,NA,0,0,"",4,1,1,"3",2014
"12","9656b","1085","yes",1089,"Roadway1",0,1085,"stricta","",2,NA,NA,NA,7906,"KS","MG",2014-05-28,"9656","No",NA,NA,NA,0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"Not Recorded","Not Recorded",0,NA,0,1,0,NA,NA,NA,0,0,1,0,NA,"Not Recorded","Not Recorded","Not Recorded",NA,NA,NA,NA,0,0,"",1,1,1,"3",2014
"13","9693b","186","yes",423,"Roadway1",0,186,"stricta","",2,NA,NA,NA,1730,"KS","PH",2013-05-14,"9693","No",NA,"9010","N",0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"Not Recorded","Not Recorded",NA,NA,NA,2,NA,NA,NA,NA,0,0,3,0,NA,"Not Recorded","Not Recorded","Not Recorded",NA,NA,NA,NA,0,0,"",2,3,3,"1",2013
"14","9709a","685","yes",685,"Roadway1",0,685,"stricta","",2,NA,NA,NA,16413,"KS",NA,2015-06-15,"9709","No",NA,NA,NA,0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"Not Recorded","Not Recorded",0,NA,0,2,2,30,NA,NA,0,0,3,0,NA,"Not Recorded","Not Recorded","Not Recorded",NA,NA,NA,NA,0,0,"",4,3,3,"5",2015
"15","9893","84","yes",330,"3",0,84,"stricta","",2,NA,NA,"Clonal",1300,"KS","PH",2013-04-13,"9893","No",NA,"8400","E",NA,"No",0,NA,"No",0,NA,"No",0,NA,"No",0,NA,"No",0,NA,"Not Recorded","Not Recorded",NA,NA,0,1,0,NA,NA,NA,0,1,0,0,NA,"Not Recorded","Not Recorded","Not Recorded",NA,NA,NA,NA,0,0,"",1,1,1,"0",2012
"16","9893","84","yes",330,"3",0,84,"stricta","",2,NA,NA,"Clonal",2067,"KS","PH",2013-05-16,"9893","No",NA,"9316","S",0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"Not Recorded","Not Recorded",NA,NA,0,1,0,6,13,8,0,1,0,0,NA,"Not Recorded","Not Recorded","Not Recorded",NA,NA,NA,NA,0,0,"",1,1,1,"1",2013
"17","9917d","106","yes",259,"3",0,106,"stricta","",6,NA,NA,NA,1897,"KS","PH",2013-05-15,"9917","No",NA,"9177-9","W",0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"Not Recorded","Not Recorded",NA,NA,0,1,0,NA,NA,NA,1,0,0,0,NA,"Not Recorded","Not Recorded","Not Recorded",NA,"looks like mammal ate part of flower bud",NA,NA,0,0,"",1,0,1,"1",2013
"18","9917e","106","yes",257,"3",0,106,"stricta","",6,NA,NA,NA,6933,"KS",NA,2014-05-08,"9917","No",NA,NA,NA,0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"Not Recorded","Not Recorded",NA,NA,1,NA,NA,NA,NA,NA,9,1,0,0,NA,"Not Recorded","Not Recorded","Not Recorded",NA,NA,NA,NA,0,0,"",1,1,10,"3",2014
"19","9939a","113","yes",320,"3",0,113,"stricta","",5,NA,NA,NA,7287,"KS",NA,2014-05-19,"9939","No",NA,NA,NA,0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"Not Recorded","Not Recorded",0,NA,0,1,0,NA,NA,NA,1,0,0,0,NA,"Not Recorded","Not Recorded","Not Recorded",NA,NA,"looks like something ate part of flower bud",NA,0,0,"",1,0,1,"3",2014
"20","9939b","113","yes",315,"3",0,113,"stricta","",5,NA,NA,NA,7326,"KS",NA,2014-05-19,"9939","No",NA,"3876","nw",0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"Not Recorded","Not Recorded",0,NA,0,3,0,62,185,156,3,0,1,1,NA,"Not Recorded","Not Recorded","Not Recorded",NA,NA,"flower buds and flower have evidence of herbivory","measured whole plant",0,0,"",3,1,5,"3",2014
"21","9972","113","yes",113,"3",0,113,"stricta","",1,NA,NA,"Clonal",1116,"KS","PH",2013-04-01,"9972","No",NA,"8115","E",NA,"No",0,NA,"No",0,NA,"No",0,NA,"No",0,NA,"No",0,NA,"Not Recorded","Not Recorded",NA,NA,0,1,0,NA,NA,NA,0,1,0,0,NA,"Not Recorded","Not Recorded","Not Recorded",NA,NA,NA,NA,0,0,"",1,1,1,"0",2012
